,Name,Games Played,Minutes Played,FG%,3PT%,2PT%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,Points
0,Zavier Simpson,4,43.5,.365,.125,.409,.375,1.000,0.5,4.8,5.3,7.5,1.3,1.0,2.5,11.0
1,Georgios Kalaitzakis,4,41.5,.464,.364,.529,.536,.476,0.5,2.8,3.3,3.0,2.5,0.3,4.0,17.5
2,Melvin Frazier,3,40.0,.271,.048,.444,.281,.714,1.7,2.7,4.3,0.3,0.3,0.0,1.0,10.7
3,Shai Gilgeous-Alexander,56,34.7,.453,.300,.514,.496,.810,0.7,4.3,5.0,5.9,1.3,0.8,2.8,24.5
4,Jaylen Hoard,7,34.3,.489,.360,.538,.539,.429,4.3,7.7,12.0,2.4,0.9,0.7,1.1,14.7
5,Luguentz Dort,51,32.6,.404,.332,.487,.493,.843,0.7,3.4,4.2,1.7,0.9,0.4,1.7,17.2
6,Josh Giddey,54,31.5,.419,.263,.492,.461,.709,1.8,6.0,7.8,6.4,0.9,0.4,3.2,12.5
7,Darius Bazley,69,27.9,.422,.297,.511,.484,.688,1.0,5.3,6.3,1.4,0.8,1.0,1.3,10.8
8,Aaron Wiggins,50,24.2,.463,.304,.573,.525,.729,1.0,2.5,3.6,1.4,0.6,0.2,1.1,8.3
9,Vit Krejci,30,23.0,.407,.327,.522,.503,.864,0.6,2.8,3.4,1.9,0.6,0.3,1.0,6.2
10,Tre Mann,60,22.8,.393,.360,.421,.476,.793,0.4,2.4,2.9,1.5,0.8,0.2,1.2,10.4
11,Jeremiah Robinson-Earl,49,22.2,.414,.352,.478,.503,.741,1.5,4.1,5.6,1.0,0.6,0.3,0.8,7.5
12,Kenrich Williams,49,21.9,.461,.339,.536,.525,.545,1.5,3.0,4.5,2.2,0.9,0.2,0.9,7.4
13,Isaiah Roby,45,21.1,.514,.444,.545,.582,.672,1.7,3.2,4.8,1.6,0.8,0.8,1.0,10.1
14,Aleksej Pokusevski,61,20.2,.408,.289,.498,.470,.700,1.2,4.0,5.2,2.1,0.6,0.6,1.5,7.6
15,Olivier Sarr,22,19.1,.574,.448,.625,.639,.828,1.5,2.7,4.2,0.9,0.3,0.7,1.0,7.0
16,Lindy Waters III,25,18.6,.406,.363,.621,.557,.800,0.2,2.7,2.9,1.0,0.8,0.3,0.4,8.0
17,Scotty Hopson,1,18.0,.500,.000,.667,.500,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0
18,Théo Maledon,51,17.8,.375,.293,.449,.445,.790,0.4,2.2,2.6,2.2,0.6,0.2,1.3,7.1
19,Paul Watson,9,17.3,.343,.231,.667,.429,.500,0.3,2.7,3.0,0.9,0.3,0.3,0.4,3.4
20,Ty Jerome,48,16.7,.378,.290,.493,.460,.809,0.4,1.2,1.6,2.3,0.6,0.1,0.8,7.1
21,Derrick Favors,39,16.7,.516,.125,.554,.522,.640,1.5,3.2,4.7,0.6,0.4,0.3,0.2,5.3
22,Mamadi Diakite,13,14.5,.532,.000,.595,.532,.545,1.3,3.2,4.5,0.2,0.4,0.7,0.5,4.3
23,Mike Muscala,43,13.8,.456,.429,.506,.597,.842,0.5,2.5,3.0,0.5,0.4,0.6,0.3,8.0
24,Gabriel Deck,7,8.0,.571,.500,.600,.643,,0.1,0.7,0.9,0.7,0.1,0.0,0.3,2.6
25,Rob Edwards,2,5.5,.250,.250,,.375,,0.0,1.5,1.5,0.0,0.0,0.0,0.5,1.5
