,Name,Games Played,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,Plus/Minus,VORP
0,Shai Gilgeous-Alexander,56,1942,20.9,.557,1.9,13.0,7.4,31.1,1.8,2.2,11.1,30.8,2.8,1.8,2.9,0.5,3.4,2.7
1,Darius Bazley,69,1924,12.6,.515,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,-0.5,2.2,-2.1,0.3,-1.8,0.1
2,Josh Giddey,54,1700,13.3,.478,5.8,19.8,12.7,32.3,1.5,1.1,19.5,22.2,-1.3,1.7,-1.2,0.3,-0.9,0.5
3,Luguentz Dort,51,1665,12.3,.541,2.3,10.9,6.5,8.6,1.3,1.0,9.8,23.3,0.2,1.1,-1.5,-0.7,-2.3,-0.1
4,Tre Mann,60,1367,10.2,.501,1.9,11.2,6.4,10.7,1.7,0.8,10.2,22.0,-1.0,1.0,-3.3,-1.1,-4.4,-0.8
5,Aleksej Pokusevski,61,1233,12.0,.485,6.0,20.8,13.3,16.5,1.5,2.9,16.4,20.0,-1.1,1.5,-2.7,0.1,-2.6,-0.2
6,Aaron Wiggins,50,1209,10.3,.556,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,-3.4,-0.9,-4.3,-0.7
7,Jeremiah Robinson-Earl,49,1087,11.7,.526,7.0,19.1,13.0,6.7,1.3,1.3,10.1,15.4,0.4,1.0,-1.9,-0.4,-2.2,-0.1
8,Kenrich Williams,49,1072,13.3,.532,7.1,14.1,10.5,15.3,2.0,0.9,11.9,15.6,0.8,1.0,-1.3,1.1,-0.3,0.5
9,Isaiah Roby,45,948,18.3,.607,8.0,15.6,11.8,12.1,1.8,3.3,10.3,19.0,1.8,1.1,0.4,0.2,0.6,0.6
10,Théo Maledon,51,908,10.6,.500,2.2,12.8,7.4,18.5,1.7,1.1,15.3,20.3,-0.5,0.8,-3.7,-0.7,-4.4,-0.6
11,Ty Jerome,48,801,11.3,.488,2.4,7.7,5.0,21.3,1.8,0.6,9.6,20.8,0.0,0.5,-2.2,-0.2,-2.3,-0.1
12,Vit Krejci,30,690,8.5,.529,2.6,12.6,7.5,11.9,1.3,1.1,14.1,12.9,0.1,0.5,-4.3,-1.0,-5.3,-0.6
13,Derrick Favors,39,653,13.6,.534,9.0,20.2,14.5,5.9,1.3,1.7,4.5,13.4,0.8,0.7,-2.3,0.3,-2.1,0.0
14,Mike Muscala,43,592,19.7,.630,3.6,19.1,11.2,6.2,1.5,4.1,4.9,20.9,1.4,0.7,3.8,1.2,5.0,1.1
15,Lindy Waters III,25,465,13.0,.562,1.3,15.0,8.1,8.1,2.0,1.6,5.8,17.5,0.3,0.5,-0.8,-0.8,-1.6,0.1
16,Olivier Sarr,22,421,14.0,.672,8.2,14.6,11.4,6.9,0.7,3.3,16.2,13.9,0.7,0.3,-2.7,-1.3,-4.0,-0.2
17,Jaylen Hoard,7,240,18.0,.536,12.7,23.5,18.0,11.6,1.2,1.9,7.7,18.7,0.3,0.3,1.2,-2.1,-0.9,0.1
18,Mamadi Diakite,13,188,11.6,.540,9.2,23.3,16.1,1.6,1.3,4.5,11.9,13.5,0.1,0.3,-5.9,0.9,-5.0,-0.1
19,Zavier Simpson,4,174,7.7,.406,1.2,11.4,6.2,25.2,1.4,2.1,15.6,15.9,-0.2,0.1,-6.0,-1.9,-7.9,-0.3
20,Georgios Kalaitzakis,4,166,9.4,.536,1.2,6.9,4.0,11.4,2.9,0.6,19.7,21.1,-0.2,0.2,-4.9,-1.9,-6.8,-0.2
21,Paul Watson,9,156,5.7,.432,1.9,16.1,8.9,7.2,0.9,1.8,10.0,11.0,-0.1,0.1,-4.8,-0.6,-5.4,-0.1
22,Melvin Frazier,3,120,-0.4,.313,4.2,7.0,5.6,1.2,0.4,0.0,5.5,19.5,-0.4,0.0,-9.7,-6.7,-16.4,-0.4
23,Gabriel Deck,7,56,11.5,.643,1.8,9.3,5.5,13.7,0.9,0.0,12.5,12.3,0.1,0.0,-1.2,-1.3,-2.5,0.0
24,Scotty Hopson,1,18,0.1,.500,0.0,5.8,2.9,8.1,0.0,0.0,33.3,14.4,-0.1,0.0,-8.7,-2.9,-11.6,0.0
25,Rob Edwards,2,11,-0.8,.375,0.0,28.5,14.0,0.0,0.0,0.0,20.0,19.6,-0.1,0.0,-8.3,-2.9,-11.2,0.0
