,Name,Games Played,Minutes Played,FG%,3PT%,2PT%,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,Points
0,Shai Gilgeous-Alexander,68,35.5,.510,.345,.533,.531,.905,0.9,4.0,4.8,5.5,1.6,1.0,2.8,31.4
1,Josh Giddey,76,31.1,.482,.325,.524,.516,.731,1.9,5.9,7.9,6.2,0.8,0.4,2.8,16.6
2,Luguentz Dort,74,30.7,.388,.330,.440,.466,.772,1.7,2.9,4.6,2.1,1.0,0.3,1.2,13.7
3,Jalen Williams,75,30.3,.521,.356,.579,.567,.812,1.1,3.4,4.5,3.3,1.4,0.5,1.6,14.1
4,Kenrich Williams,53,22.8,.517,.373,.608,.590,.436,1.8,3.1,4.9,2.0,0.8,0.3,0.6,8.0
5,Aleksej Pokusevski,34,20.6,.434,.365,.483,.510,.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,8.1
6,Isaiah Joe,73,19.1,.441,.409,.553,.599,.820,0.4,2.0,2.4,1.2,0.7,0.1,0.5,9.5
7,Jeremiah Robinson-Earl,43,18.9,.444,.333,.533,.518,.833,1.7,2.5,4.2,1.0,0.6,0.3,0.4,6.8
8,Jaylin Williams,49,18.7,.436,.407,.463,.534,.704,0.9,4.0,4.9,1.6,0.6,0.2,0.8,5.9
9,Aaron Wiggins,70,18.5,.512,.393,.573,.579,.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,6.8
10,Tre Mann,67,17.7,.393,.315,.475,.474,.764,0.4,1.9,2.3,1.8,0.6,0.2,0.9,7.7
11,Darius Bazley,36,15.4,.449,.400,.469,.506,.554,0.8,2.6,3.4,0.9,0.5,0.8,0.6,5.4
12,Ousmane Dieng,39,14.6,.420,.265,.602,.492,.652,0.5,2.2,2.7,1.2,0.4,0.2,0.7,4.9
13,Mike Muscala,43,14.5,.438,.394,.541,.576,.795,0.5,2.6,3.1,0.9,0.3,0.4,0.3,6.2
14,Dario Šarić,20,13.7,.515,.391,.623,.606,.844,0.7,2.6,3.3,0.9,0.4,0.1,1.0,7.4
15,Lindy Waters III,41,13.0,.393,.358,.750,.556,.800,0.4,1.4,1.8,0.7,0.3,0.3,0.2,5.2
16,Jared Butler,6,12.8,.469,.500,.444,.578,,0.2,0.5,0.7,1.3,0.8,0.0,0.8,6.2
17,Olivier Sarr,9,12.7,.500,.125,.636,.517,.714,1.3,2.1,3.4,0.4,0.1,0.6,0.4,4.0
18,Eugene Omoruyi,23,11.8,.468,.258,.571,.511,.607,1.0,1.3,2.3,0.5,0.6,0.0,0.7,4.9
