,Name,Games Played,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,OBPM,DBPM,Plus/Minus,VORP
0,Shai Gilgeous-Alexander,68,2416,27.2,.626,2.6,12.2,7.3,25.7,2.2,2.5,10.1,32.8,8.4,3.0,5.7,1.5,7.3,5.6
1,Josh Giddey,76,2367,17.1,.533,6.6,20.9,13.6,29.9,1.1,1.2,15.1,24.6,1.3,2.7,1.5,-0.3,1.2,1.9
2,Jalen Williams,75,2276,15.6,.601,3.9,12.2,7.9,15.4,2.1,1.4,12.3,18.4,3.0,2.6,-0.4,0.7,0.3,1.3
3,Luguentz Dort,74,2272,11.3,.513,5.9,10.4,8.1,9.2,1.6,0.9,8.5,19.8,0.9,2.1,-2.0,-1.0,-3.0,-0.6
4,Isaiah Joe,73,1395,14.5,.626,2.0,11.6,6.7,8.7,1.6,0.5,6.6,17.7,2.5,1.3,1.3,-0.4,0.9,1.0
5,Aaron Wiggins,70,1297,12.2,.607,5.5,12.0,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,-1.5,-0.5,-2.1,0.0
6,Kenrich Williams,53,1206,14.4,.585,8.5,14.9,11.6,11.7,1.8,1.1,8.1,13.7,2.0,1.3,0.1,0.4,0.5,0.8
7,Tre Mann,67,1183,10.0,.492,2.4,11.8,7.0,14.0,1.6,0.9,10.6,20.7,-0.6,1.1,-3.0,-1.0,-3.9,-0.6
8,Jaylin Williams,49,914,11.2,.559,5.1,23.6,14.1,10.7,1.5,1.2,12.6,13.5,0.7,1.2,-2.3,0.6,-1.7,0.1
9,Jeremiah Robinson-Earl,43,814,13.0,.548,9.2,14.7,11.9,7.0,1.4,1.2,6.7,14.6,1.1,0.8,-0.8,-0.7,-1.5,0.1
10,Aleksej Pokusevski,34,701,13.4,.522,6.8,17.8,12.2,12.4,1.4,5.7,14.0,18.3,0.0,1.0,-1.0,1.0,0.0,0.3
11,Mike Muscala,43,622,13.8,.602,3.9,19.7,11.6,8.2,0.8,2.8,6.0,15.7,1.0,0.7,0.3,-0.1,0.1,0.3
12,Ousmane Dieng,39,569,9.3,.505,3.5,16.5,9.9,10.7,1.2,1.1,12.0,15.9,-0.1,0.6,-3.1,-0.5,-3.6,-0.2
13,Darius Bazley,36,555,12.9,.525,5.5,18.3,11.8,7.6,1.6,4.8,10.5,15.7,0.1,0.8,-1.8,0.8,-1.0,0.1
14,Lindy Waters III,41,531,11.8,.573,3.2,12.2,7.6,7.0,1.3,1.9,5.1,15.5,0.6,0.5,0.5,-0.4,0.1,0.3
15,Dario Šarić,20,273,15.9,.650,5.4,20.5,12.8,8.9,1.2,0.7,14.4,20.2,0.4,0.3,0.1,-0.2,-0.2,0.1
16,Eugene Omoruyi,23,272,10.6,.531,8.5,12.1,10.3,5.6,2.4,0.0,13.1,18.8,0.0,0.3,-4.4,-0.5,-4.9,-0.2
17,Olivier Sarr,9,114,11.5,.544,11.1,18.2,14.6,4.6,0.4,4.1,10.8,13.6,0.1,0.1,-4.2,-0.7,-4.9,-0.1
18,Jared Butler,6,77,13.0,.578,1.4,4.3,2.8,15.0,3.1,0.0,13.5,20.1,0.0,0.1,-2.2,-0.4,-2.6,0.0
